Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach
Secreto;Secreto;Anuel AA;1/15/2019;USXDR1900020;957;759388276;68502;18835572
fukumean;fukumean;Gunna;6/15/2023;USAT22306575;39;759998727;188142;80392612
I'm Geekin;I'm Geekin;DDG;4/21/2023;USSM12302214;3584;76004507;24334;3477076
Don't Go Insane;Don't Go Insane;DPR IAN;10/04/23;QMBZ92331724;31;76033359;12861;8094289
2 Hielos;2 Hielos;King Savagge;02/02/23;QM4TW2352901;2443;76078240;16848;2644680
Ascend;Ascend - Single;Dezko;06/09/23;QM7282324662;2114;76305266;31142;26310863
Hero;Hero;Alan Walker;05/04/23;NOG842303010;4367;76323780;15631;7617886
Trojan Horse;Split Decision;Dave;06/04/23;GBUM72305707;3252;76510509;35841;3367961
Libaas;Libaas;Kaka;11/19/2020;INS402000018;1889;76630812;8933;1073356
Chasing That Feeling;The Name Chapter: FREEFALL;TOMORROW X TOGETHER;10/13/2023;USA2P2342340;3089;76642740;6264;8512117
LAISSE MOI;LAISSE MOI;KeBlack;09/08/23;DGA092316630;2743;76805130;12362;2698463
II MOST WANTED;COWBOY CARTER;Beyonce;3/27/2024;USSM12402717;1022;76870736;5252;32501444
so american;GUTS (spilled);Olivia Rodrigo;3/22/2024;USUG12401532;43;76917797;4045;11594722
You & Me - Rivo Remix;You & Me (Rivo Remix);Disclosure;12/22/2023;GBUM72310662;1995;76959761;18706;48962409
Borro Cassette;Borro Cassette;Maluma;6/29/2015;USSD11500124;2045;761287318;58967;27208424
Chicago Freestyle (feat. Giveon);Dark Lane Demo Tapes;Drake;05/01/20;USUG12001407;1462;763384135;20027;32837352
SOS (feat. Aloe Blacc);SOS (feat. Aloe Blacc);Avicii;04/10/19;SE5R71900201;3839;763658190;99429;20117915
South of the Border (feat. Camila Cabello & Cardi B);South of the Border (feat. Camila Cabello & Cardi B);Ed Sheeran;07/11/19;GBAHS1900714;2665;765374782;69032;29531913
Goosebumps - Remix;Goosebumps (Remix);Travis Scott;1/15/2021;USSM12100202;141;767502068;142094;65054729
Scream & Shout;Scream & Shout;will.i.am;11/20/2012;USUM71215597;2821;767661283;177756;49961171
Look Back At It;Look Back At It;A Boogie Wit da Hoodie;12/07/18;USAT21812667;912;769061748;136145;21910460
Devil Eyes;Providence;Hippie Sabotage;02/05/16;US7SR1600006;2121;769295129;195653;20289921
SKINNY;HIT ME HARD AND SOFT;Billie Eilish;5/17/2024;USUM72401995;390;77212437;4083;13850203
Back to Me;VULTURES 1;Kanye West;02/09/24;QZ7XS2400005;2599;77403728;13507;6358959
Spin You Around (1/24);Spin You Around (1/24);Morgan Wallen;1/26/2024;USUG12400786;3453;77564567;7109;6908240
Supernova;Supernova;SAIKO;4/19/2023;QM6MZ2302420;4348;125451295;28417;7839226
PARANOIA;PARANOIA;HEARTSTEEL;10/23/2023;QZH6S1900806;3601;77600263;13012;1664856
SPOT!;SPOT!;ZICO;4/26/2024;USA2P2421932;153;77757035;3407;35428519
Naach Meri Rani;Naach Meri Rani(Feat. Guru Randhawa,Nora Fatehi);Guru Randhawa;10/20/2020;INS182006593;3056;77941531;7966;2976409
Love Me;I Am Not A Human Being II (Japan Version);Lil Wayne;01/01/13;USCM51300136;3317;773746724;52272;8515549
Supernova;Supernova;aespa;5/13/2024;KRA302400090;63;69729033;2483;21046278
Whoopty;Whoopty;CJ;8/20/2020;USA2P2031043;297;775664145;213464;28998615
Calling My Phone;Calling My Phone;Lil Tjay;02/12/21;USSM12100388;263;777064903;213153;29437172
Take Me to Church;Take Me To Church;Hozier;9/16/2013;IEACJ1300031;1293;2544489950;238611;69693570
The Sound Of Silence;The Sound of Silence (CYRIL Remix);Disturbed;01/01/15;USRE11500180;2022;777947820;135133;20085121
A Tu Merced;YHLQMDLG;Bad Bunny;2/29/2020;QM4TX2030959;2856;778269101;94041;20880365
Walk It Talk It;Culture II;Migos;1/26/2018;USUM71800983;2337;778459270;150813;29317904
Ella Quiere Beber - Remix;Ella Quiere Beber (Remix);Anuel AA;11/02/18;QM6P41842818;2299;778846570;6615;25410849
Doomsday;Doomsday;Juice WRLD;6/23/2023;USUG12303674;3019;78001581;4082;8704480
Alibi (feat. Rudimental);Alibi (feat. Rudimental) - Single;Ella Henderson;01/12/24;GBAHS2301557;1426;78096380;7999;76558923
Fall Back;Fall Back / Selfish Game - Single;Lithe;3/21/2024;AUMEV2435468;485;78227549;10811;34967691
Tattoo;Tattoo;Rauw Alejandro;2/13/2020;QZHN21900087;922;341742937;53836;9757013
I LUV IT (feat. Playboi Carti);I LUV IT (feat. Playboi Carti);Camila Cabello;3/27/2024;USUG12401760;1428;78537688;7391;23509446
I Don't Fuck With You;I Don't Fuck With You;Big Sean;9/19/2014;USUM71414033;1475;781790448;135134;33420257
Amanece;Amanece;Anuel AA;12/14/2018;USDXS1806044;1457;784096553;80071;22684253
Tattoo;Tattoo;Loreen;2/25/2023;SEUM72201638;221;518846340;83033;48268736
Mood Swings (feat. Lil Tjay);Shoot For The Stars Aim For The Moon;Pop Smoke;07/03/20;USUM72013632;317;785016247;210669;32702397
Those Eyes;Those Eyes;New West;05/10/19;TCAEE1990215;3613;785139012;11953;33481593
Sin Pijama;Sin Pijama;Becky G;4/20/2018;USSD11800157;542;785389574;70607;24678614
Renegades;Renegades;X Ambassadors;3/17/2015;USUM71502643;4445;785571181;131703;26404041
family ties;family ties - Single;Baby Keem;8/27/2021;USSM12105949;945;786298066;204148;57623622
Armed And Dangerous;Goodbye & Good Riddance;Juice WRLD;5/23/2018;USUG11802039;3283;786839663;128506;20744090
WAIT FOR U (feat. Drake & Tems);WAIT FOR U (feat. Drake & Tems);Future;4/27/2022;USSM12203789;120;787155930;18385;58397185
Holy (feat. Chance The Rapper);Holy;Justin Bieber;9/18/2020;USUM72017013;950;787546548;110389;44478175
Venom - Music From The Motion Picture;Kamikaze;Eminem;8/31/2018;USUM71813345;129;788282679;139716;24601490
What About Us;What About Us;P!nk;08/10/17;USRC11701586;2765;788403596;7926;39889584
Pursuit Of Happiness (nightmare);Man On the Moon: The End of Day;Kid Cudi;01/01/09;USUM70981907;433;789300127;18936;25658184
Jealous;Jealous;Eyedress;12/06/19;GBMYF1900115;1615;789418331;170553;31361482
THE SCOTTS;THE SCOTTS;THE SCOTTS;4/24/2020;USSM12002217;1614;789962731;176635;30767602
Alone (with Nicki Minaj);Alone;Kim Petras;4/21/2023;USUG12302442;3622;79045342;18284;6628769
Mother;Takin' It Back (Deluxe);Meghan Trainor;03/04/23;USSM12300425;264;79738242;1239;2274976
Boo'd Up;Ella Mai;Ella Mai;10/12/18;USUM71814738;2726;79783827;9749;2909695
Turks & Caicos (feat. 21 Savage);Nostalgia;Rod Wave;9/15/2023;USQX92305198;142;79871904;18919;14210017
Yummy;Yummy;Justin Bieber;01/03/20;USUM71923046;579;792379282;96177;23338709
Wants and Needs (feat. Lil Baby);Scary Hours 2;Drake;03/05/21;USUG12101042;985;793287638;225513;37094631
Hold Me While You Wait;Hold Me While You Wait;Lewis Capaldi;05/03/19;DEUM71900680;279;793528511;99106;36201454
Prisoner (feat. Dua Lipa);Prisoner (feat. Dua Lipa);Miley Cyrus;11/20/2020;USRC12003364;2101;795449825;89489;26707311
CUFF IT;RENAISSANCE;Beyonce;7/29/2022;USSM12206232;213;795960535;100204;68659216
Versace on the Floor;24K Magic;Bruno Mars;11/17/2016;USAT21602949;3949;797648369;64011;17977153
BLAQ ON BLAQ (feat. Luciano);BLAQ ON BLAQ (feat. Luciano);HoodBlaq;5/30/2024;DEKF22400486;3772;8033479;1347;7618938
Ngopi Maszeh;Ngopi Maszeh;Happy Asmara;1/29/2023;SGB502314277;347;8034198;756;174523
Wake Up (feat. Chris Brown);Wake Up (feat. Chris Brown);Skylar Blatt;4/26/2024;USAR12300479;2683;8040021;11;6340545
Linger - SiriusXM Session;SiriusXM Session;Royel Otis;5/31/2024;FRX872443806;1171;8053814;908;11708987
KING KONG;KING KONG;TREASURE;5/28/2024;KRA402400030;214;8078265;207;12311489
Mi Morenita;Mi Morenita - Single;Grupo Marca Registrada;5/24/2024;USA2P2432334;3494;8104357;456;36732009
Right Now (Feat. Crush);Right Now;Coogie;09/12/23;KRC712300070;1348;8163960;3228;1162003
Ana Ghaltan;Cigara;Bahaa Sultan;12/27/2021;EGA092200106;3468;8316794;1342;21799
Skibidi Toilet;Skibidi Toilet;Lil Big Stack;6/18/2023;QZMEP2360644;3636;8388731;1929;194015
JAGERMEISTER;Jagermeister (feat. 2woBunnies) - Single;Ice Beats Slide;12/31/2022;ZA56E2201859;4373;8434856;6522;537376
Get Off The Wall;Get Off The Wall;Philly Goats;06/02/23;USUM72307453;2926;8470479;2776;1823591
Merayu Tuhan;Merayu Tuhan;Tri Suaka;8/15/2023;QZYFZ2347514;813;8517888;506;74157
Kalkatiya Raja;Kalkatiya Raja;Pawan Singh;9/22/2023;DGA092395791;2545;8607782;231;175674
Bussin (with Rob49);Bussin (with Rob49);Moneybagg Yo;3/29/2024;USUM72403387;3368;8635035;1798;5447625
Feel the POP;You had me at HELLO;ZEROBASEONE;5/13/2024;KRA492400588;106;8699917;533;10481435
Gimmie A Light;Gimmie A Light;Ice Spice;05/10/24;USUG12400205;3692;8734499;1005;21736311
SORRY 4 THAT MUCH;SORRY 4 THAT MUCH;Feid;06/07/24;USUM72406641;557;8757910;1184;87529320
Girls Never Die;<ASSEMBLE24>;tripleS;05/08/24;KRA382402695;2352;8797665;769;17349465
Too Rolling Stoned - 2024 Remaster;Bridge of Sighs (50th Anniversary Edition);Robin Trower;06/07/24;UKKP22400242;3395;8820808;2;14442
Never Stop;Valedictorian;ian;5/17/2024;USQX92402275;1674;8857839;2138;9237218
I Love Mama Mantu;I Love Mama Mantu;Bulan Sutena;11/01/21;FRX872121045;2468;8887656;1905;405342
Zhurek;Zhurek;Adam;10/06/23;DGA0M2333309;770;8893883;1745;385351
HOLA PERDIDA REMIX;HOLA PERDIDA REMIX;Luck Ra;5/31/2024;CLPP22400062;1228;8981282;873;40161269
Vette Motors;Vette Motors - Single;YoungBoy Never Broke Again;06/10/22;USAT22207312;3814;80585683;16202;12738423
La Jeepeta;La Jeepeta;Nio Garcia;01/02/20;QMFMF1907946;2958;80772450;17494;2936226
ten;ten;Fred again..;10/13/2023;GBAHS2301151;211;80795111;29807;14707999
"Badass (From ""Leo"")";"Badass (From ""Leo"")";Anirudh Ravichander;9/28/2023;INS172309078;4174;80886056;4145;3673433
Te Felicito;Te Felicito;Gerardo Coronel;10/07/22;QZDQH2203589;4292;137113129;997;6955914
HISS;HISS;Megan Thee Stallion;1/26/2024;USAT22400675;2141;80952546;6104;23088210
F**kin' Problems;F**kin' Problems;A$AP Rocky;10/24/2012;USRC11201220;3138;803286487;157238;36820510
Train Wreck;Back from the Edge;James Arthur;10/28/2016;DEE861600590;4464;803983295;106924;55494559
Escapism.;Escapism. / The Thrill Is Gone.;RAYE;10/12/22;QMDA62217995;190;804925777;128247;62532855
Do It To It;Do It To It;ACRAZE;8/20/2021;QZFPL2100100;324;805019111;238887;94531613
Therefore I Am;Therefore I Am;Billie Eilish;11/12/20;USUM72021500;695;805133547;132298;34341587
Whiskey Glasses;The Way I Talk;Morgan Wallen;7/29/2016;QZ22S1500059;2712;806728296;86002;17665355
QUE PRETENDES;OASIS;J Balvin;6/28/2019;USUM71912318;2849;806817589;85661;29532086
The Color Violet;Alone At Prom;Tory Lanez;12/10/21;QZTGW2100275;833;806918358;152298;19863721
When It Rains It Pours;This One's for You;Luke Combs;06/02/17;QZ4751600015;2258;807802864;93613;23160480
679 (feat. Remy Boyz);679 (feat. Remy Boyz);Fetty Wap;6/29/2015;QMCE31500250;1863;808010338;130977;25603956
boyfriend (with Social House);boyfriend;Ariana Grande;08/02/19;USUG11902591;3324;809537829;72598;26362809
Shower;Crave Vol. 9 (Mixed By DJ Havana Brown);Becky G;01/01/14;USRC11400866;139;809840469;110573;53838139
This Is Me;This Is Me;Keala Settle;10/27/2017;USAT21704622;2852;809894358;80591;19776253
8am in Charlotte;For All The Dogs;Drake;10/06/23;USUG12306082;2207;81093233;34004;4164888
Filhall 2;Filhall 2;B Praak;6/19/2020;QZLQR2052977;1721;81182241;2;18
De Fresa y Coco;De Fresa y Coco;Luis R Conriquez;11/10/23;QMANG2226771;2445;81186913;7818;5727811
Piscina;Piscina;Maria Becerra;11/08/23;USWL12302932;1532;81319633;7972;12644546
The Prophecy;THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY;Taylor Swift;4/19/2024;USUG12402548;3224;81419779;3003;13808567
Mejor Que Yo;Mejor Que Yo - Single;Anuel AA;05/04/23;QM6N22374183;3552;81623095;18046;6605054
Good To Be;Good To Be;Mark Ambor;10/17/2023;QM24S2307335;4192;81632951;14438;9855635
The Black Dog;THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY;Taylor Swift;4/19/2024;USUG12401046;3892;81662552;2325;7529867
la noia;La noia;Angelina Mango;02/07/24;ITJG42400001;1853;81694468;4777;7822812
SLAY!;SLAY!;Eternxlkz;3/15/2024;QM4TX2453776;2471;81775807;556;36721527
Meridian;Meridian;Dave;8/24/2023;GBUM72306716;1921;81911061;2874;4403115
El Boss;El Boss;Gabito Ballesteros;3/28/2024;USA2P2415440;1746;81942319;358;30332860
Malibu;Malibu;Miley Cyrus;05/11/17;USRC11700814;3763;810044838;87422;33951824
Te Felicito;Te Felicito;Shakira;4/21/2022;USQX92201764;392;719593291;74269;37254627
2055;2055;Sleepy Hallow;4/14/2021;USRC12100442;488;811700245;195603;31185690
Tennessee Orange;Tennessee Orange;Megan Moroney;09/02/22;TCAGJ2289254;2424;227893586;28139;12480714
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series;The Highlights (Deluxe);The Weeknd;02/05/21;USUG12303876;1142;812954133;137681;53947304
TEXAS HOLD 'EM;TEXAS HOLD 'EM;Beyonce;02/09/24;USSM12401303;798;425058273;2563;11967164
Sail;Back From Earth;AWOLNATION;01/01/10;USP6L1000053;1523;814264073;145349;25209426
Swervin (feat. 6ix9ine);Hoodie SZN;A Boogie Wit da Hoodie;12/21/2018;USAT21812918;266;815243082;140617;18381330
Thank God;Different Man;Kane Brown;09/09/22;USRN12200041;866;157341967;20612;11359519
Love Galore;Love Galore;SZA;4/27/2017;USRC11700886;4313;817054014;105515;29991191
Nonsense;emails i can't send;Sabrina Carpenter;7/15/2022;USUM72210708;1129;817286460;5562;61610668
Vaina Loca;Vaina Loca;Ozuna;6/28/2018;USXDR1800901;1963;818413674;68379;22527293
First Class;First Class;Jack Harlow;04/08/22;USAT22203024;123;818858244;223609;49586777
Fair Trade (with Travis Scott);Certified Lover Boy;Drake;09/03/21;USUG12104402;708;819136167;220374;42648915
WHATS POPPIN;WHATS POPPIN;Jack Harlow;1/21/2020;USAT22000162;854;819779577;161131;28874159
Think U The Shit (Fart);Think U The Shit (Fart);Ice Spice;1/26/2024;USUG12400704;2155;82013588;8321;17390936
Help Me Help You (feat. Why Don't We);Help Me Help You (feat. Why Don't We);Logan Paul;5/19/2017;USLD91702518;3377;82539441;6224;1056938
Phir Bhi Tumko Chaahunga;Half Girlfriend;Mithoon;4/30/2017;INZ031402279;4378;82758005;13462;6604073
Lonely (with benny blanco);Lonely (with benny blanco);Justin Bieber;10/16/2020;USUM72019170;1431;820172575;119464;35423440
Jumpman;What A Time To Be Alive;Drake;9/20/2015;USCM51500300;2994;820380309;11596;29602345
Kill This Love;Kill This Love;BLACKPINK;04/04/19;KRA401900005;361;820840650;63934;18843601
BOP;KIRK;DaBaby;9/27/2019;USUM71918972;1021;820923123;158363;34079735
Loco Contigo (feat. J. Balvin & Tyga);Loco Contigo (with J. Balvin, feat. Tyga);DJ Snake;6/13/2019;USUG11901580;1144;822696809;141261;26970098
comethru;comethru;Jeremy Zucker;09/07/18;USUM71813455;2405;822935346;90889;19172749
Million Reasons;Million Reasons;Lady Gaga;10/06/16;USUM71609736;4175;825465124;71034;28288082
Heart Attack;Demi;Demi Lovato;01/01/13;USHR11334249;3134;826593536;101501;31034827
double take;double take;Dhruv;5/24/2019;GBMJG1911043;1737;826685494;106975;21112809
Beauty And A Beat;Believe;Justin Bieber;01/01/12;USUM71205367;3001;827079737;123017;55637959
I Like You (A Happier Song) (with Doja Cat);Twelve Carat Toothache;Post Malone;06/03/22;USUM72208023;179;827950825;118965;64661540
Beautiful Crazy;Beautiful Crazy;Luke Combs;05/04/18;US6XF1700259;1511;828103564;83834;17064586
UN DIA (ONE DAY) (Feat. Tainy);UN DIA (ONE DAY) (Feat. Tainy);J Balvin;7/24/2020;QZM5U2000001;1629;828608384;93376;34702149
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground);So Fresh The Hits of Summer 2011 + The Best Of 2010;Shakira;01/01/10;USSM11001353;921;829352129;159324;36048887
I Took A Pill In Ibiza;The Truth;Mike Posner;6/22/2015;USUM71503636;2316;83366020;17799;3474319
My wrist (with Young Thug);My wrist (with Young Thug);Yeat;5/26/2023;USUM72307802;2572;83393310;32703;6521059
Clara Bow;THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401043;3863;83518075;2267;5904252
QUE ME FALTE TODO;QUE ME FALTE TODO;Luck Ra;10/26/2023;CLPP22300109;2089;83544478;7535;12487998
Push Up - Original Mix;Push Up - Single;Creeds;12/21/2022;NLCK42223782;1409;83801298;78156;5245976
River (feat. Ed Sheeran);Revival;Eminem;12/15/2017;USUM71712944;3691;830410811;9547;18564708
You Right;You Right;Doja Cat;6/24/2021;USRC12100544;713;831648193;119953;44866271
Neverita;Un Verano Sin Ti;Bad Bunny;05/06/22;QM6MZ2214882;1139;831868563;93211;21780286
One Call Away;One Call Away;Charlie Puth;8/21/2015;USAT21502703;1604;833094374;74711;20494033
Magnolia;Playboi Carti;Playboi Carti;4/14/2017;USUM71703095;3002;834795353;18762;29767336
Everybody Talks;Everybody Talks;Neon Trees;12/19/2011;USUM71119189;4359;836267192;170098;45773811
Formula;Euphoria (Original Score from the HBO Series);Labrinth;10/04/19;USQX91902497;4034;836491531;114619;24572791
Day 'N' Nite (nightmare);Day 'N' Nite;Kid Cudi;01/01/09;USUM70957500;4277;836986096;185976;32031700
Lost on You;Lost On You;LP;3/24/2016;QMRSZ1501406;998;837042727;127522;22902207
Yandel 150;Yandel 150;Yandel;12/20/2022;QMFMF2215173;247;837576264;102545;38825844
Never Gonna Give You Up (2022 - Remaster);Whenever You Need Somebody (Deluxe Edition - 2022 Remaster);Rick Astley;5/20/2022;GB5KW2103369;3199;839345554;295;20447
I Knew You Were Trouble.;I Knew You Were Trouble.;Taylor Swift;01/01/12;USCJY1231039;2809;839642356;110606;35486997
King Shit;Leo;Shubh;01/05/24;QMFMG2357540;1455;84030576;4988;9741006
Ya No Estoy Dolido;Ya No Estoy Dolido;Adrian L Santos;01/08/24;QZ9QQ2400016;306;84049041;3331;9213117
CUAL ES ESA;FERXXOCALIPSIS;Feid;12/01/23;USUM72318210;3285;84131713;9659;7789551
Le Monde;Talk to Me (Original Soundtrack);Richard Carter;08/04/23;QMB622321018;1568;84141101;23465;5042229
Lonely At The Top;Work Of Art;Asake;6/15/2023;USUYG1490059;947;84655991;13107;7678884
"Coca Cola (From ""Luka Chuppi"")";"Coca Cola (From ""Luka Chuppi"")";Tony Kakkar;02/04/19;INS181900274;3757;84890640;8746;5016334
Someone To You;Someone to You;BANNERS;06/09/17;USUM71705215;3312;840041803;147478;46983313
Lost Boy;Lost Boy;Ruth B.;8/21/2015;USSM11506787;3207;840781611;936;36206570
DJ Got Us Fallin' In Love;Europa FM Presenta Europa Baila;USHER;01/01/10;USLF21000041;3402;841183589;178587;102898525
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Red (Taylor's Version);Taylor Swift;11/12/21;USUG12103690;1912;842558786;55074;40675939
Are You Bored Yet? (feat. Clairo);Are You Bored Yet? (feat. Clairo);Wallows;02/01/19;USAT21812258;3186;842749499;158456;40544627
Chill Bill;The RCA-List (Vol. 2);Rob $tone;01/01/16;USRC11601124;2649;843861768;155472;20340958
Leave Before You Love Me (with Jonas Brothers);Summer 2021;Marshmello;4/28/2021;USUG12102313;810;844630935;94185;54080564
willow;evermore;Taylor Swift;12/10/20;USUG12004699;2217;844790027;67136;50350718
THANK GOD;UTOPIA;Travis Scott;7/28/2023;USSM12305005;144;159483318;53828;5159560
Broccoli;Broccoli - Single;ati2x06;1/17/2024;ES64E2455101;626;846435891;1;42
The Door;The Door;Teddy Swims;6/14/2024;USWB12402486;12;111155129;2;263767
The Greatest;The Greatest;Sia;01/01/16;USRC11601332;3812;669427500;66668;19682111
Broccoli (feat. Lil Yachty);Broccoli (feat. Lil Yachty) - Single;DRAM;04/06/16;USUYG1098775;1947;849055927;131131;22922803
THE GREATEST;HIT ME HARD AND SOFT;Billie Eilish;5/17/2024;USUM72401992;606;74533081;4192;13299713
Ta Ta Ta;Bayanni;Bayanni;8/24/2022;NGA3B2219002;586;85207310;31737;2778661
Boy's a Liar Pt. 2;Boy's a liar Pt. 2;PinkPantheress;02/03/23;GBAYE2300015;96;851085705;129047;50996176
love nwantiti (ah ah ah);CKay The First;CKay;8/30/2019;QMEU31910213;256;853451422;172458;43607688
Rewrite The Stars (with James Arthur & Anne-Marie);Rewrite The Stars (with James Arthur & Anne-Marie);James Arthur;10/25/2018;USAT21811554;2377;853574945;46385;17500223
Super Bass;Pink Friday;Nicki Minaj;01/01/10;USCM51000734;4469;855080751;112252;49283690
Dancin (feat. Luvli) - Krono Remix;Dancin (Krono Remix);Aaron Smith;11/07/14;QMLA71400326;1411;856908437;163911;32032973
Pop Out (feat. Lil Tjay);Pop Out (feat. Lil TJay);Polo G;02/07/19;USQX91900309;472;858059276;181654;27803039
The Way I Are;Shock Value (International Version);Timbaland;01/01/07;USUM70722806;4495;858734232;177813;63919947
Breakeven;Breakeven (Official 4K Video);The Script;4/25/2024;GB1102400418;287;858979483;1;14
ME! (feat. Brendon Urie of Panic! At The Disco);ME!;Taylor Swift;4/26/2019;USUG11901267;3588;859985881;17061;4818145
Thinking out Loud;Full Circle: The Live Anthology;Ed Sheeran;11/20/2011;GBAHS1400099;3253;2502925593;212574;119020197
In Your Love;In Your Love;Tyler Childers;7/27/2023;USRC12300844;3305;86069322;1765;15787518
Cough;Cough;Kizz Daniel;10/13/2022;USUYG1448153;655;86103527;24888;4522560
Mood;Mood;Makar;08/05/22;QZMEN2295194;3551;86132200;50326;3786319
Thunder;Thunder;Imagine Dragons;4/27/2017;USUM71704167;203;2384768901;244951;88329475
Thunder;Thunder;Gabry Ponte;05/07/21;ITV952100014;1582;551090518;146088;68848253
On The Radar Freestyle;On The Radar Freestyle;Drake;7/26/2023;USLD91749183;2894;86155124;34804;13487736
Bad idea;Missing;Kurochuu;06/09/24;CA5KR2466578;387;86203995;2;219
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho);Pros Menorzin (feat. DJ Biel do Furduncinho);L7NNON;04/08/22;BR5TG2200015;234;86262202;17907;7303868
Genda Phool (feat. Payal Dev);Genda Phool (feat. Payal Dev);Badshah;3/26/2020;INS172000876;930;86295058;7591;3058131
Fight The Feeling;Fight The Feeling;Rod Wave;3/31/2023;USQX92301922;1128;86327319;18112;2247123
Too Sweet;Unreal Unearth: Unheard;Hozier;3/22/2024;USSM12401865;35;532012790;23557;67488850
Buga;Buga;Kizz Daniel;05/03/22;USUYG1425645;208;86516910;30835;3440925
Asking;Asking (feat. Clementine Douglas);Sonny Fodera;07/07/23;US39N2307761;3117;86564714;20203;44058645
Strike (Holster);Strike (Holster);Lil Yachty;04/07/23;USUG12300025;3093;86574948;38354;6776600
Yaad Piya Ki Aane Lagi;Yaad Piya Ki Aane Lagi;Neha Kakkar;11/16/2019;INS181905489;1976;86910140;8749;2989865
Run Free;Run Free;Deep Chills;8/18/2017;NLYK91700007;2334;86943003;1795;3630498
Dance The Night - From Barbie The Album;Dance The Night (From Barbie The Album);Dua Lipa;5/25/2023;USAT22305457;85;860026452;74769;139913794
Dance The Night;Barbie The Album;Dua Lipa;7/21/2023;USAT22305730;1652;860026452;19743;10536844
you should see me in a crown;you should see me in a crown;Billie Eilish;7/18/2018;USUM71810049;237;860596912;103375;35817894
Moth To A Flame (with The Weeknd);The Highlights (Deluxe);Swedish House Mafia;02/05/21;USUG12105524;1056;861100951;153435;41139591
Cupid - Twin Ver.;The Beginning: Cupid - Single;FIFTY FIFTY;2/24/2023;KSA012239181;229;861388470;10304;37365896
Never Be the Same;Never Be the Same;Camila Cabello;12/17/2017;USSM11710323;2997;862685616;66559;20300133
Problem;The Edge (Mixed By G-Wizard & DJ Nino Brown);Ariana Grande;01/01/14;USUM71405403;193;863631428;84796;36693869
Shut up My Moms Calling;Shut up My Moms Calling - Single;Hotel Ugly;02/10/20;TCAEQ2083509;1983;864865822;155446;25122611
BICHOTA;BICHOTA;KAROL G;10/23/2020;USUM72019324;385;868091483;86379;31261057
Safaera;YHLQMDLG;Bad Bunny;2/29/2020;QM4TX2030965;1331;868744690;116275;31273843
22;22;JayO;2/22/2023;US39N2300484;4079;87001628;30898;12034538
Too Sweet;Unreal Unearth: Unheard;Hozier;3/22/2024;IEACJ2300335;158;532012790;22396;130752527
She Make It Clap;She Make It Clap;Soulja Boy;03/12/21;TCAFL2178806;4452;87813373;35497;4333964
Classy 101;Classy 101;Feid;3/31/2023;USUM72304895;195;872148396;90726;70485920
No Money;No Money;Galantis;04/01/16;USAT21600941;3194;872428879;85665;22510886
Rise;Rise;Jonas Blue;5/25/2018;GBUM71802109;2592;872518334;93636;18157143
Body Like A Back Road;Body Like A Back Road;Sam Hunt;02/01/17;USUM71700575;152;874864898;78015;21590960
Boss Bitch;Boss Bitch;Doja Cat;1/23/2020;USAT21907355;1352;878349171;126275;47587177
Toxic;Toxic;YG;08/12/22;USUM72215025;4006;36861625;18739;2015690
fantasmas;fantasmas - Single;Humbe;11/20/2023;MXH912300041;1296;88072335;6388;10711840
It's Getting Hot;Cottonwood 2: Deluxe 2.0;NLE Choppa;4/14/2023;USWB12303948;3082;88138772;28324;3844575
prove it;prove it;21 Savage;01/10/24;USSM12309169;1388;88224186;19035;10935183
imgonnagetyouback;THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY;Taylor Swift;4/19/2024;USUG12402541;2764;88244010;2659;8584946
Fast Forward;GAME PLAN;JEON SOMI;08/07/23;KSA002301968;2556;88499180;9715;3943924
Hummingbird (Metro Boomin & James Blake);METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE);Metro Boomin;06/02/23;USUM72307467;4208;88524099;26884;4613355
Fluxxwave;Fluxxwave;Clovis Reyes;05/07/23;QZK6N2350050;2002;88673935;17012;6135810
if looks could kill;if looks could kill;Destroy Lonely;03/03/23;USUM72302654;3618;88771696;46086;4886494
Sweet Venom;ORANGE BLOOD;ENHYPEN;11/17/2023;USA2P2343662;4233;88814008;6254;5540598
Canon and Gigue for Three Violins and Continuo in D Major: Canon;The Academy in Concert. Albinoni: Adagio - Pachelbel: Canon - Bach: Air & Music By Beethoven, Handel, Mendelssohn, Mozart;Sir Neville Marriner;5/17/2024;GBAYC2302025;1752;88934872;4;188
Lean Wit Me;Lean Wit Me;Juice WRLD;5/22/2018;USUG11800945;1001;880781313;137341;29154307
Toxic;Faded;BoyWithUke;09/10/21;TCAFS2101442;662;690010618;14508;16730668
Low Life;EVOL;Future;02/12/16;USSM11600557;1897;884825594;165579;32192169
Martin & Gina;THE GOAT;Polo G;5/15/2020;USQX92002595;516;885756212;212406;24064966
